代號,公司,資本額(億)
2734,易飛網,3.03
2736,高野,4.9
2739,寒舍,11.15
2740,天蔥,1.79
2745,五福,2.93
2748,雲品,6.56
2752,豆府,2.14
2801,彰銀,998.53
2809,京城銀,114.12
2812,台中銀,370.88
2816,旺旺保,21.3
2820,華票,134.3
2823,中壽,446.36
2832,台產,36.22
2834,台企銀,671.36
2836,高雄銀,108.09
2838,聯邦銀,288.45
2841,台開,76.09
2845,遠東銀,335.58
2849,安泰銀,150.32
2850,新產,31.6
2851,中再保,59.04
2852,第一產,30.12
2855,統一證,137.24
2867,三商壽,237.2
2880,華南金,1217.27
2881,富邦金,1023.36
2882,國泰金,1316.92
2883,開發金,1496.6
2884,玉山金,1161.95
2885,元大金,1168.62
2886,兆豐金,1359.98
2887,台新金,1065.61
2888,新光金,1260.04
2889,國票金,284.81
2890,永豐金,1127.11
2891,中信金,1949.7
2892,第一金,1197.69
2897,王道銀行,241.3
2901,欣欣,7.3
2903,遠東百,141.69
2904,匯僑,6.9
2905,三商行,82.67
2906,高林,20.91
2908,特力,50.99
2910,統領,20.87
2911,麗嬰房,19.63
2912,統一超,103.96
2913,農林,70.68
2915,潤泰全,56.49
2916,滿心,5.46
2923,鼎固-KY,174.03
2924,東凌-KY,3.28
2926,誠生,4.74
2928,紅馬-KY,4.73
2929,淘帝-KY,8.26
2936,客思達-KY,7.66
2937,集雅社,3.29
2939,凱羿-KY,4.72
3002,歐格,10.2
3003,健和興,15.57
3004,豐達,5.26
3005,神基,57.95
3006,晶豪科,28.58
3008,大立光,13.41
3010,華立,23.14
3011,今皓,11.27
3013,晟銘,16.29
3014,聯陽,16.11
3015,全漢,19.23
3016,嘉晶,27.44
3017,奇鋐,35.33
3018,同開,7.35
3019,亞光,28.11
3021,衛展,9.58
3022,威強電,17.73
3023,信邦,22.93
3024,憶聲,27.72
3025,星通,7.09
3026,禾伸堂,15.8
3027,盛達,9.89
3028,增你強,21.38
3029,零壹,12.4
3030,德律,23.62
3031,佰鴻,18.67
3032,偉訓,10.33
3033,威健,36.78
3034,聯詠,60.85
3035,智原,24.86
3036,文曄,59.03
3037,欣興,150.47
3038,全台,16.24
3040,遠見,6.3
3042,晶技,30.98
3043,科風,19.49
3044,健鼎,52.56
3045,台灣大,346.8
3046,建碁,3.49
3047,訊舟,18.65
3048,益登,22.26
3049,和鑫,80.69
3050,鈺德,14.6
3051,力特,26.72
3052,夆典,22.87
3054,立萬利,8.85
3055,蔚華科,10.24
3056,總太,20.92
3057,喬鼎,16.14
3058,立德,16.49
3059,華晶,27.55
3060,銘異,13.94
3062,建漢,32.86
3064,泰偉,8.41
3066,李洲,8.31
3067,全域,2.9
3071,協禧,11.0
3073,普格,4.65
3078,僑威,22.74
3081,聯亞,9.1
3083,網龍,8.57
3085,久大,11.81
3086,華義,6.12
3088,艾訊,7.97
3089,元炬,6.01
3090,日電貿,17.87
3092,鴻碩,7.46
3093,港建,3.63
3094,聯傑,8.47
3095,及成,10.93
3105,穩懋,42.41
3114,好德,5.6
3115,寶島,4.37
3118,進階,3.25
3122,笙泉,3.93
3128,昇銳,4.2
3130,一零四,3.32
3131,弘塑,2.92
3141,晶宏,6.39
3144,新揚科,10.06
3147,大綜,3.4
3149,正達,18.76
3152,璟德,6.9
3162,精確,12.65
3163,波若威,7.53
3164,景岳,8.89
3167,大量,8.01
3169,亞信,5.44
3171,新洲,5.92
3176,基亞,13.87
3178,公準,4.51
3188,安茂微,9.03
3189,景碩,45.12
3191,和進,5.72
3202,樺晟,11.58
3205,佰研,3.28
3206,志豐,5.39
3207,耀勝,4.38
3209,全科,17.29
3211,順達,14.75
3213,茂訊,5.87
3217,優群,8.21
3218,大學光,7.61
3219,倚強,1.48
3221,台嘉碩,10.23
3224,三顧,5.8
3226,至寶電,6.44
3227,原相,13.71
3228,金麗科,6.78
3229,晟鈦,6.06
3230,錦明,10.77
3231,緯創,284.06
3232,昱捷,3.66
3234,光環,7.6
3236,千如,9.29
3252,海灣科,5.02
3257,虹冠電,6.94
3259,鑫創,8.09
3260,威剛,21.97
3264,欣銓,49.03
3265,台星科,13.63
3266,昇陽,35.23
3268,海德威,3.34
3272,東碩,5.23
3276,宇環,6.97
3284,太普高,5.6
3285,微端,4.41
3287,廣寰科,4.4
3288,點晶,2.27
3289,宜特,9.36
3290,東浦,9.95
3293,鈊象,7.04
3294,英濟,13.2
3296,勝德,9.82
3297,杭特,3.68
3303,岱稜,9.61
3305,昇貿,11.96
3306,鼎天,5.06
3308,聯德,9.86
3310,佳穎,5.02
3311,閎暉,6.0
3312,弘憶股,11.8
3313,斐成,8.38
3317,尼克森,6.13
3321,同泰,11.76
3322,建舜電,9.67
3323,加百裕,8.33
3324,雙鴻,8.4
3325,旭品,7.46
3332,幸康,4.81
3338,泰碩,8.65
3339,泰谷,9.62
3346,麗清,7.58
3354,律勝,7.01
3356,奇偶,8.99
3360,尚立,6.88
3362,先進光,11.15
3363,上詮,9.05
3372,典範,17.21
3373,熱映,4.33
3374,精材,27.17
3376,新日興,17.92
3379,彬台,3.8
3380,明泰,44.29
3388,崇越電,7.41
3390,旭軟,6.7
3402,漢科,7.3
3406,玉晶光,10.08
3413,京鼎,8.27
3416,融程電,6.02
3419,譁裕,12.05
3426,台興,2.64
3432,台端,6.66
3434,哲固,2.27
3437,榮創,14.45
3438,類比科,6.74
3441,聯一光,4.0
3443,創意,13.4
3444,利機,3.91
3450,聯鈞,14.57
3452,益通,31.95
3454,晶睿,8.7
